CustomerID,Recency,Frequency,Monetary,Recency_R,Frequency_F,Monetary_M
12346.0,2011-01-18 10:01:00,1,77183.6,1,2,5
12747.0,2011-12-07 14:34:00,9,3489.740000000002,5,5,5
12748.0,2011-12-09 12:20:00,175,29491.600000000362,5,5,5
12749.0,2011-12-06 09:56:00,5,4090.880000000001,5,4,5
12820.0,2011-12-06 15:12:00,4,942.3399999999999,5,4,4
12821.0,2011-05-09 15:51:00,1,92.72,1,2,1
12822.0,2011-09-30 10:04:00,2,948.8799999999999,2,2,4
12823.0,2011-09-26 07:35:00,5,1759.5,2,4,4
12824.0,2011-10-11 12:49:00,1,397.11999999999995,3,2,2
12826.0,2011-12-07 10:25:00,6,1319.7199999999993,5,5,4
12827.0,2011-12-04 12:17:00,3,430.15,5,3,2
12828.0,2011-12-07 08:45:00,6,1018.7100000000003,5,5,4
12829.0,2011-01-07 11:13:00,1,207.25,1,2,1
12830.0,2011-11-02 11:54:00,6,6814.640000000001,3,5,5
12831.0,2011-03-22 13:02:00,1,215.05,1,2,1
12832.0,2011-11-07 13:30:00,2,383.03000000000003,3,2,2
12833.0,2011-07-17 13:46:00,1,417.37999999999994,2,2,2
12834.0,2011-03-02 09:49:00,1,312.38,1,2,2
12836.0,2011-10-11 15:10:00,4,2612.8599999999988,3,4,5
12837.0,2011-06-19 16:07:00,1,134.1,1,2,1
12838.0,2011-11-06 12:20:00,1,292.34000000000003,3,2,2
12839.0,2011-12-07 12:33:00,12,4853.970000000004,5,5,5
12840.0,2011-07-19 09:29:00,4,2726.769999999999,2,4,5
12841.0,2011-12-05 11:13:00,23,3516.359999999998,5,5,5
12842.0,2011-09-30 15:33:00,2,1118.99,2,2,4
12843.0,2011-10-05 12:09:00,8,1702.26,3,5,4
12844.0,2011-11-10 13:31:00,2,325.9599999999999,4,2,2
12845.0,2011-03-17 13:34:00,4,354.09000000000003,1,4,2
12847.0,2011-11-17 13:16:00,1,871.5399999999998,4,2,4
12849.0,2011-11-08 13:41:00,2,1050.8899999999999,4,2,4
12851.0,2011-09-04 12:41:00,1,135.17999999999995,2,2,1
12852.0,2011-02-18 08:47:00,1,311.54999999999995,1,2,2
12853.0,2011-07-28 11:29:00,6,1957.1,2,5,5
12854.0,2011-09-22 12:15:00,3,1324.5000000000007,2,3,4
12856.0,2011-12-02 10:52:00,6,2179.9300000000007,5,5,5
12857.0,2011-05-13 10:20:00,2,1106.4000000000003,1,2,4
12863.0,2011-10-18 14:15:00,1,521.2,3,2,3
12864.0,2011-07-24 13:03:00,1,147.12,2,2,1
12867.0,2011-11-13 15:30:00,6,3674.0299999999957,4,5,5
12868.0,2011-06-07 10:42:00,5,1403.7600000000004,1,4,4
12871.0,2011-09-16 15:07:00,2,380.64000000000004,2,2,2
12872.0,2011-01-17 10:52:00,1,221.44000000000003,1,2,1
12873.0,2011-03-02 14:58:00,1,374.0,1,2,2
12875.0,2011-07-19 15:30:00,1,49.470000000000006,2,2,1
12877.0,2011-12-06 10:30:00,11,1385.71,5,5,4
12878.0,2011-04-17 13:07:00,2,854.9899999999999,1,2,3
12879.0,2011-10-26 12:24:00,3,573.22,3,3,3
12881.0,2011-03-09 11:44:00,1,298.0,1,2,2
12882.0,2011-11-30 16:18:00,2,1463.0399999999995,5,2,4
12883.0,2011-11-15 09:32:00,4,703.4700000000001,4,4,3
12884.0,2011-09-12 13:10:00,1,309.05000000000007,2,2,2
12885.0,2011-10-07 13:40:00,3,1175.2199999999996,3,3,4
12886.0,2011-10-03 10:09:00,2,1378.4,2,2,4
12888.0,2011-05-09 16:02:00,2,354.12,1,2,2
12890.0,2011-11-15 17:26:00,1,380.46999999999997,4,2,2
12891.0,2011-06-07 12:31:00,3,331.0,1,3,2
12893.0,2011-11-09 12:34:00,1,188.14,4,2,1
12895.0,2011-10-28 13:51:00,2,372.79999999999995,3,2,2
12897.0,2011-05-19 12:13:00,2,216.5,1,2,1
12901.0,2011-12-01 10:07:00,28,17654.539999999997,5,5,5
12902.0,2011-03-20 12:06:00,1,138.68,1,2,1
12904.0,2011-11-21 14:34:00,2,509.57999999999976,4,2,3
12906.0,2011-11-28 09:55:00,5,2919.809999999999,5,4,5
12908.0,2011-06-16 15:39:00,2,750.0,1,2,3
12909.0,2011-10-31 12:43:00,5,2178.67,3,4,5
12910.0,2011-11-16 14:28:00,8,3075.0400000000013,4,5,5
12912.0,2011-12-07 08:55:00,5,1662.3,5,4,4
12913.0,2011-12-05 12:11:00,4,2066.0099999999998,5,4,5
12915.0,2011-07-14 11:34:00,1,164.0,2,2,1
12916.0,2011-07-24 10:35:00,4,3006.1500000000005,2,4,5
12917.0,2011-08-03 16:42:00,1,594.0,2,2,3
12919.0,2011-12-01 13:47:00,6,1335.1899999999998,5,5,4
12920.0,2011-11-22 15:05:00,1,164.23000000000002,4,2,1
12921.0,2011-11-30 16:22:00,35,15899.290000000006,5,5,5
12922.0,2011-07-01 15:35:00,1,405.38,2,2,2
12923.0,2011-10-06 16:20:00,1,176.97,3,2,1
12924.0,2011-09-12 13:55:00,4,933.7000000000003,2,4,4
12925.0,2011-12-05 11:11:00,2,694.0499999999998,5,2,3
12928.0,2011-11-04 14:24:00,4,1670.3599999999997,3,4,4
12929.0,2011-02-01 12:08:00,1,117.85000000000001,1,2,1
12930.0,2011-09-22 15:18:00,2,415.8,2,2,2
12931.0,2011-11-18 12:39:00,13,41878.95999999999,4,5,5
12933.0,2011-11-15 16:38:00,3,607.5299999999999,4,3,3
12935.0,2011-12-07 17:25:00,7,2160.6999999999994,5,5,5
12936.0,2011-11-22 17:32:00,4,1063.9000000000005,4,4,4
12937.0,2011-11-24 15:05:00,4,1504.2700000000004,4,4,4
12938.0,2011-11-14 11:21:00,1,114.14,4,2,1
12939.0,2011-10-06 14:33:00,8,11581.8,3,5,5
12940.0,2011-10-16 12:09:00,2,913.5400000000001,3,2,4
12942.0,2011-07-31 14:39:00,2,425.14999999999975,2,2,2
12944.0,2011-11-04 11:04:00,1,317.56,3,2,2
12945.0,2011-02-24 14:15:00,1,462.95000000000005,1,2,3
12947.0,2011-07-19 10:06:00,5,1299.9500000000005,2,4,4
12948.0,2011-11-23 17:10:00,7,2064.95,4,5,5
12949.0,2011-11-09 11:25:00,8,4167.220000000001,4,5,5
12950.0,2011-12-07 13:17:00,3,1843.0,5,3,4
12951.0,2011-12-01 12:14:00,6,1064.0700000000004,5,5,4
12952.0,2011-12-04 10:35:00,4,1387.7900000000004,5,4,4
12953.0,2011-11-30 09:24:00,1,329.84999999999997,5,2,2
12955.0,2011-12-08 16:29:00,11,4757.159999999999,5,5,5
12956.0,2011-02-06 16:08:00,1,108.07,1,2,1
12957.0,2011-11-30 09:53:00,8,4017.5400000000027,5,5,5
12962.0,2011-12-02 15:55:00,2,266.39000000000004,5,2,2
12963.0,2011-12-01 12:55:00,7,1490.8299999999997,5,5,4
12965.0,2011-09-11 15:31:00,1,771.9099999999996,2,2,3
12966.0,2011-11-30 12:38:00,1,160.18,5,2,1
12968.0,2011-08-19 15:44:00,1,135.95,2,2,1
12970.0,2011-12-02 14:30:00,4,452.23999999999995,5,4,2
12971.0,2011-12-06 12:20:00,81,10753.719999999998,5,5,5
12974.0,2011-05-26 09:33:00,1,144.8,1,2,1
12976.0,2011-05-12 09:55:00,1,738.6,1,2,3
12977.0,2011-07-06 16:40:00,1,39.24,2,2,1
12980.0,2011-07-05 09:34:00,8,6485.58,2,5,5
12981.0,2011-11-10 12:00:00,2,372.21999999999997,4,2,2
12982.0,2011-04-11 11:51:00,1,390.53999999999996,1,2,2
12984.0,2011-11-21 12:37:00,1,97.5,4,2,1
12985.0,2011-12-09 10:46:00,2,1239.38,5,2,4
12987.0,2011-09-27 12:03:00,2,558.7,2,2,3
12988.0,2011-02-20 14:31:00,1,535.32,1,2,3
12989.0,2011-12-06 15:28:00,14,6721.609999999996,5,5,5
12990.0,2011-11-08 13:01:00,3,409.50000000000006,3,3,2
12991.0,2011-11-16 15:34:00,2,503.76,4,2,3
12993.0,2011-11-16 15:49:00,4,414.75999999999993,4,4,2
12994.0,2011-12-05 15:43:00,3,974.42,5,3,4
12995.0,2011-09-15 15:44:00,1,211.32,2,2,1
12997.0,2011-11-17 15:47:00,4,1226.89,4,4,4
12999.0,2011-05-27 13:24:00,3,455.8799999999999,1,3,3
13000.0,2011-08-25 10:43:00,2,333.09999999999997,2,2,2
13001.0,2011-12-05 14:51:00,13,9818.820000000012,5,5,5
13002.0,2011-01-25 15:18:00,1,120.94999999999999,1,2,1
13003.0,2011-08-26 10:50:00,3,149.05,2,3,1
13004.0,2011-11-28 11:27:00,17,5298.9000000000015,5,5,5
13005.0,2011-06-19 10:53:00,2,513.7,1,2,3
13006.0,2011-10-14 13:49:00,1,81.57,3,2,1
13008.0,2011-01-20 14:24:00,1,229.47000000000003,1,2,1
13012.0,2011-11-30 13:05:00,8,1661.8400000000008,5,5,4
13013.0,2011-12-08 15:01:00,11,3282.599999999999,5,5,5
13014.0,2011-11-29 12:27:00,10,3466.2799999999997,5,5,5
13015.0,2011-10-17 13:19:00,5,3346.2800000000016,3,4,5
13016.0,2011-09-27 14:08:00,3,789.8899999999996,2,3,3
13017.0,2011-12-02 15:53:00,1,204.0,5,2,1
13018.0,2011-11-23 13:28:00,28,7277.699999999997,4,5,5
13021.0,2011-12-05 16:37:00,8,2459.03,5,5,5
13023.0,2011-10-06 16:27:00,2,689.9000000000001,3,2,3
13026.0,2011-12-08 16:58:00,5,975.3599999999998,5,4,4
13027.0,2011-08-18 09:39:00,5,5472.0,2,4,5
13028.0,2011-11-17 11:10:00,2,661.32,4,2,3
13029.0,2011-11-09 09:13:00,2,865.0,4,2,3
13030.0,2011-11-28 14:30:00,1,371.7399999999999,5,2,2
13032.0,2011-10-18 15:54:00,2,1010.1799999999997,3,2,4
13034.0,2011-10-16 12:21:00,1,476.91,3,2,3
13035.0,2011-09-27 08:57:00,2,921.8800000000002,2,2,4
13037.0,2011-07-24 15:46:00,3,881.07,2,3,4
13038.0,2011-09-20 14:37:00,3,908.46,2,3,4
13040.0,2011-12-01 10:38:00,2,676.9900000000001,5,2,3
13043.0,2011-03-11 14:52:00,1,516.4200000000001,1,2,3
13044.0,2011-02-21 15:20:00,1,560.4700000000001,1,2,3
13045.0,2011-09-01 15:04:00,1,305.28,2,2,2
13046.0,2011-11-09 08:36:00,2,629.31,4,2,3
13047.0,2011-11-08 12:06:00,7,2870.9100000000003,3,5,5
13048.0,2011-11-25 13:23:00,4,1835.9099999999994,4,4,4
13049.0,2011-10-06 15:31:00,2,656.6800000000002,3,2,3
13050.0,2011-11-25 09:18:00,13,4636.990000000002,4,5,5
13052.0,2011-05-11 14:12:00,1,348.15000000000003,1,2,2
13055.0,2011-09-22 14:26:00,3,1214.41,2,3,4
13058.0,2011-11-15 12:43:00,3,271.4,4,3,2
13059.0,2011-04-04 10:40:00,1,183.4,1,2,1
13060.0,2011-03-31 11:37:00,1,307.53000000000003,1,2,2
13061.0,2011-09-28 16:04:00,1,248.61,2,2,2
13062.0,2011-06-01 15:12:00,1,346.98,1,2,2
13064.0,2011-11-27 12:31:00,4,1119.4900000000005,4,4,4
13066.0,2011-11-15 12:57:00,2,470.80000000000007,4,2,3
13067.0,2011-09-18 13:38:00,1,115.46000000000002,2,2,1
13068.0,2011-11-29 15:00:00,2,344.0,5,2,2
13069.0,2011-12-09 08:39:00,20,3791.9999999999973,5,5,5
13070.0,2011-05-31 13:45:00,1,228.8,1,2,1
13072.0,2011-03-18 08:12:00,1,177.14999999999998,1,2,1
13075.0,2011-08-02 10:19:00,1,919.61,2,2,4
13077.0,2011-12-08 19:24:00,3,415.5499999999998,5,3,2
13078.0,2011-12-06 15:36:00,24,11746.779999999995,5,5,5
13079.0,2011-12-05 16:53:00,5,220.09999999999997,5,4,1
13080.0,2011-06-13 14:59:00,1,58.08,1,2,1
13081.0,2011-11-28 10:54:00,9,25970.60000000006,5,5,5
13082.0,2011-08-05 16:16:00,9,3613.6300000000006,2,5,5
13083.0,2011-12-05 15:01:00,2,303.75,5,2,2
13085.0,2011-07-05 12:11:00,2,416.08000000000004,2,2,2
13089.0,2011-12-07 09:02:00,89,52872.62000000011,5,5,5
13090.0,2011-12-01 12:39:00,11,7902.420000000001,5,5,5
13091.0,2011-11-11 15:54:00,1,345.82,4,2,2
13092.0,2011-09-30 11:18:00,4,292.38,2,4,2
13093.0,2011-03-09 12:14:00,5,4036.96,1,4,5
13094.0,2011-11-18 14:07:00,11,1703.64,4,5,4
13095.0,2011-09-30 12:03:00,1,74.4,2,2,1
13097.0,2011-11-07 10:43:00,9,5705.519999999994,3,5,5
13098.0,2011-12-08 14:14:00,28,28882.440000000013,5,5,5
13099.0,2011-09-01 17:40:00,1,207.35999999999999,2,2,1
13101.0,2011-04-19 14:37:00,1,101.18999999999998,1,2,1
13102.0,2011-12-08 12:52:00,22,5750.170000000003,5,5,5
13103.0,2011-10-31 09:38:00,1,243.94,3,2,2
13104.0,2011-12-06 13:10:00,5,996.7199999999998,5,4,4
13106.0,2011-07-29 15:12:00,1,76.5,2,2,1
13107.0,2011-10-26 14:52:00,4,1531.6200000000003,3,4,4
13109.0,2011-10-11 10:16:00,2,786.5400000000001,3,2,3
13110.0,2011-11-08 14:30:00,7,1488.6700000000012,4,5,4
13113.0,2011-12-09 12:49:00,23,11872.990000000005,5,5,5
13115.0,2011-11-28 12:38:00,4,2294.7800000000007,5,4,5
13116.0,2011-07-24 14:33:00,1,501.14000000000004,2,2,3
13117.0,2011-11-18 12:02:00,6,596.7600000000002,4,5,3
13118.0,2011-11-20 12:46:00,5,1197.8099999999995,4,4,4
13120.0,2011-04-15 10:19:00,1,30.599999999999998,1,2,1
13121.0,2011-03-15 16:47:00,1,283.7299999999999,1,2,2
13122.0,2011-09-06 15:53:00,2,922.3900000000002,2,2,4
13124.0,2011-09-11 12:45:00,2,2610.01,2,2,5
13126.0,2011-12-05 10:00:00,6,1876.2000000000003,5,5,5
