Date	Time	CO(GT)	PT08.S1(CO)	NMHC(GT)	C6H6(GT)	PT08.S2(NMHC)	NOx(GT)	PT08.S3(NOx)	NO2(GT)	PT08.S4(NO2)	PT08.S5(O3)	T	RH	AH
2004-03-28	00:00:00	2.3	1292.5	161.0	8.934099266185445	936.75	121.0	929.75	102.0	1463.75	1200.25	10.875	55.949999809265	0.7276666130776173
2004-03-28	01:00:00	2.3	1274.25	101.0	8.313749266595785	912.0	111.0	939.25	97.0	1451.0	1188.0	10.300000190735	58.10000038147	0.727811710387278
2004-03-28	02:00:00	1.7	1135.25	95.0	6.335782437222818	827.25	87.0	1012.75	79.0	1394.5	1070.0	9.3000001907349	62.175000190735	0.7294090479235076
2004-03-28	03:00:00	2.2	1151.0	129.0	8.29524842051841	911.25	-200.0	935.25	-200.0	1500.5	1074.5	8.2000000476837	66.700000762939	0.7276304381913364
2004-03-28	04:00:00	1.3	1009.5	96.0	5.116173813476844	769.25	77.0	1109.75	69.0	1396.0	895.25	8.3000000715256	64.875001907349	0.7124307169300036
2004-03-28	05:00:00	0.8	869.75	54.0	2.5966872968302512	626.0	39.0	1325.0	52.0	1283.75	755.25	9.6000001430511	58.5	0.6999687486603463
2004-03-28	06:00:00	1.1	983.0	63.0	3.602773223770146	688.25	77.0	1250.75	62.0	1342.0	805.5	7.6750000715256	66.35000038147	0.6989901525427645
2004-03-28	07:00:00	1.4	995.25	72.0	3.64173967489039	690.5	91.0	1219.0	69.0	1321.25	836.25	7.4250000715256	67.97500038147	0.7042758342585153
2004-03-28	08:00:00	1.3	1024.25	91.0	4.682892421913301	747.25	105.0	1136.0	75.0	1382.0	897.25	9.6500000953674	58.599998474121	0.7034715294078068
2004-03-28	09:00:00	1.9	1163.0	127.0	7.534155226996669	879.75	133.0	958.5	83.0	1486.25	1073.0	12.5	50.125	0.724214874204227
2004-03-28	10:00:00	2.3	1217.75	193.0	8.965933937610119	938.0	128.0	917.75	94.0	1500.5	1088.0	16.825000286102	36.924999237061	0.7018082557636076
2004-03-28	11:00:00	2.3	1210.0	188.0	9.468788047958288	957.5	126.0	932.5	96.0	1514.25	1036.0	19.175000190735	31.325000286102	0.6886775268735442
2004-03-28	12:00:00	1.8	1113.5	151.0		886.5	92.0	1020.25	86.0	1438.0	768.25	21.300000190735	26.400000095367	0.6607430779429146
2004-03-28	13:00:00	1.4	994.5	103.0	5.664861806391042	796.0	66.0	1159.25	72.0	1287.0	587.25	21.224999904633	23.14999961853	0.5767748630455667
2004-03-28	14:00:00	1.0	926.5	55.0	3.803808114179806	699.75	50.0	1285.0	53.0	1189.25	452.0	18.625	25.025000095367	0.5318540525193962
2004-03-28	15:00:00	1.4	1001.5	104.0	4.804320198215755	753.5	70.0	1188.5	65.0	1259.75	469.75	18.049999713898	27.275000095367	0.5594339224287499
2004-03-28	16:00:00	1.3	986.75	116.0	4.303271193472167	727.25	73.0	1212.75	70.0	1244.0	501.75	18.199999809265	28.25	0.584836833830443
2004-03-28	17:00:00	1.3	993.0	93.0	4.050256979222614		77.0	1216.5			515.5	17.049999713898	31.375	0.6047552989864466
2004-03-28	18:00:00	1.4	1011.5	93.0	4.653947132964057	745.75	86.0	1174.25	86.0	1300.5	554.5	15.625	35.0	0.6169967172353186
2004-03-28	19:00:00	1.9	1113.75	155.0	6.237201055298119	822.75	93.0	1067.5	94.0	1357.25	670.75	14.100000143051	40.22500038147	0.6438456899717052
2004-03-28	20:00:00	1.8	1093.25	115.0	5.508623133368252	788.5	105.0	1101.75	103.0	1329.0	787.5	13.425000190735	43.199998855591	0.6623204318935353
2004-03-28	21:00:00	1.1	968.25	75.0	3.2808838245676193	669.25	67.0	1261.0	81.0	1245.5	538.25	12.325000047684	46.799999237061	0.6685970296466238
2004-03-28	22:00:00	1.1	959.75	65.0	3.218875255436456	665.5	63.0	1266.0	80.0	1223.75	544.0	11.875	46.47500038147	0.6449478999799921
2004-03-28	23:00:00	1.1	942.0	57.0	2.9322466012758994	647.75	63.0	1299.75	77.0	1204.0	499.5	11.5	46.64999961853	0.631851844976167
