Date	Time	CO(GT)	PT08.S1(CO)	NMHC(GT)	C6H6(GT)	PT08.S2(NMHC)	NOx(GT)	PT08.S3(NOx)	NO2(GT)	PT08.S4(NO2)	PT08.S5(O3)	T	RH	AH
2004-03-26	00:00:00	1.7	1047.5	88.0	5.477599159348292	787.0	93.0	1098.25	97.0	1372.75	834.5	9.625	61.10000038147	0.7322799198136483
2004-03-26	01:00:00	1.4	1023.75	79.0	4.799437657555934	753.25	79.0	1131.0	91.0	1357.0	793.0	9.7000000476837	61.64999961853	0.7425191022886072
2004-03-26	02:00:00	1.2	973.5	61.0	3.633065021681544	690.0	67.0	1207.5	83.0	1313.25	733.25	9.4000000953674	62.64999961853	0.7398339473297111
2004-03-26	03:00:00	0.6	861.5	43.0	1.6997929461444818	561.0	-200.0	1449.25	-200.0	1219.25	501.75	8.1750001907349	68.450000762939	0.7454836148861783
2004-03-26	04:00:00	0.7	924.5	40.0	2.246785504993861	602.0	45.0	1398.0	59.0	1263.0	562.25	7.9750001430511	69.39999961853	0.7458585473426417
2004-03-26	05:00:00	0.8	951.5	52.0	3.0278593859425342	653.75	72.0	1209.75	73.0	1312.25	832.25	7.7250000238419	72.424999237061	0.7655338358715296
2004-03-26	06:00:00	0.9	1004.75	64.0	4.045717310202204	713.25	103.0	1130.0	78.0	1363.0	923.5	7.9750002622604	71.75	0.7711145747825517
2004-03-26	07:00:00	1.6	1122.0	88.0	6.652292699030296	841.5	132.0	1014.75	90.0	1438.0	974.25	8.5000001192093	66.27499961853	0.7375123781122757
2004-03-26	08:00:00	3.4	1350.75	375.0	16.702495983514385	1201.0	239.0	783.25	110.0	1828.0	1306.75	9.7750000953674	59.60000038147	0.7213704052298594
2004-03-26	09:00:00	3.8	1407.75	592.0	19.344005847031532	1278.0	275.0	681.75	114.0	1927.5	1480.75	11.150000095367	56.97500038147	0.7543693006457773
2004-03-26	10:00:00	3.1	1303.75	357.0	14.775598053926105	1141.5	232.0	771.75	119.0	1747.25	1404.75	14.849999904633	44.125	0.7407076402903807
2004-03-26	11:00:00	2.7	1206.75	296.0	13.431043277829003	1098.0	180.0	826.0	121.0	1663.5	1194.75	16.849999904633	35.349999427795	0.6729230427307409
2004-03-26	12:00:00	2.0	1099.25	181.0	10.977346204363998	1013.5	112.0	947.75	97.0	1503.25	867.75	19.224999904633	27.099999904633	0.5976243895607846
2004-03-26	13:00:00	2.3	1105.6666666667	211.0	12.535803547771689	1068.0	116.0	914.66666666667	99.0	1535.3333333333	874.0	19.099999745687	26.233332951864	0.5740849012491405
2004-03-26	14:00:00	1.9	1009.25	199.0	8.4189190812524	916.25	103.0	1015.0	85.0	1390.5	738.0	16.349999904633	30.799999713898	0.5682559747419185
2004-03-26	15:00:00	1.3	961.75	81.0	5.25237752206223	776.0	89.0	1151.5	75.0	1279.0	549.75	14.174999952316	36.825000286102	0.592244433013977
2004-03-26	16:00:00	1.9	1093.25	143.0	8.826222726457212	932.5	112.0	975.5	87.0	1454.25	776.75	13.449999809265	40.974999427795	0.6292128397022791
2004-03-26	17:00:00	2.3	1179.75	247.0	11.228614928035205	1022.5	127.0	886.25	102.0	1588.25	966.25	14.224999904633	43.274998664856	0.6981943882559115
2004-03-26	18:00:00	2.4	1168.0	239.0	11.638524261032968	1037.0	125.0	868.25	105.0	1579.5	989.75	12.075000047684	45.550000190735	0.6403309171830182
2004-03-26	19:00:00	2.7	1167.5	267.0	12.389162076428056	1063.0	120.0	875.5	98.0	1540.25	943.5	10.375	48.02499961853	0.6045590541541206
2004-03-26	20:00:00	2.6	1139.5	261.0	10.591313617363797	999.5	120.0	916.0	93.0	1490.0	962.0	10.0	51.125	0.627987635123302
2004-03-26	21:00:00	1.5	1000.75	97.0	5.982908820688995	811.0	99.0	1097.25	91.0	1308.25	777.75	9.8250000476837	50.824999809265	0.617182802411024
2004-03-26	22:00:00	1.2	953.0	66.0	4.601079630929639	743.0	79.0	1185.25	85.0	1252.0	689.5	9.6749999523163	50.425000190735	0.6063281126407005
2004-03-26	23:00:00	1.1	971.5	60.0	4.068437354625373	714.5	66.0	1236.5	74.0	1257.5		9.8500001430511	50.175000190735	0.6102893815255749
