Date	Time	CO(GT)	PT08.S1(CO)	NMHC(GT)	C6H6(GT)	PT08.S2(NMHC)	NOx(GT)	PT08.S3(NOx)	NO2(GT)	PT08.S4(NO2)	PT08.S5(O3)	T	RH	AH
2004-03-14	00:00:00	2.9	1533.5	93.0	10.963457959141822	1013.0	190.0	888.5	129.0	1610.75	1534.75	13.949999809265	53.60000038147	0.8497717204331877
2004-03-14	01:00:00	2.8	1483.5	131.0	11.86017851848332	1044.75	174.0	879.75	119.0	1624.25	1529.75	14.649999856949	51.5	0.8536231326791223
2004-03-14	02:00:00	2.5	1366.75	92.0	8.624678823055866	924.5	128.0	952.5	104.0	1543.0	1337.0	12.549999952316	58.900000572205	0.8537400738793904
2004-03-14	03:00:00	2.4	1344.0	132.0	9.737786456670193	967.75	-200.0	920.5	-200.0	1619.75	1278.25	11.649999856949	63.425000190735	0.8674492315744939
2004-03-14	04:00:00	-200.0	1129.5	56.0	5.191654203204007	773.0	70.0	1130.25	82.0	1451.75	1050.5	12.099999904633	61.100001335144	0.8603162131672637
2004-03-14	05:00:00	1.2	1062.0	32.0		691.0	53.0	1271.5	70.0	1376.75	929.0	11.475000143051	63.10000038147	0.8532753834381319
2004-03-14	06:00:00	1.0	1075.75	29.0	2.4813419346402656	618.25	44.0	1395.25	63.0	1333.0	872.25	11.599999904633	62.150000572205	0.8472636259100265
2004-03-14	07:00:00	0.9	1028.25	27.0	2.4299844022774177	614.75	74.0	1383.5	67.0	1340.0	853.0	10.399999856949	67.649998664856	0.8529987302926639
2004-03-14	08:00:00	1.4	1154.5	36.0	4.210510136054915	722.25	101.0	1224.75	84.0	1413.75	959.25	11.574999809265	62.674999237061	0.8530382230087753
2004-03-14	09:00:00	1.6	1235.25	57.0	6.352276711074662	828.0	118.0	1055.25	83.0	1527.0	1093.25	12.424999952316	60.0	0.8627151273296463
2004-03-14	10:00:00	2.2	1331.5	129.0	8.587110474608117	923.0	144.0	951.75	98.0	1613.75	1225.0	14.525000095367	53.074999809265	0.8727816223552813
2004-03-14	11:00:00	2.8	1444.75	148.0	10.859535166937011	1009.25	176.0	878.25	114.0	1696.0	1355.25	16.875000476837	46.099999427795	0.8789310942666374
2004-03-14	12:00:00	2.8	1415.5	145.0	10.659815662688954	1002.0	161.0	906.75	119.0	1676.5	1261.5	19.300000190735	38.25	0.8474048021414429
2004-03-14	13:00:00	2.0	1281.25	93.0	7.540072456167103	880.0	113.0	1083.75	104.0	1525.0	980.0	21.174999713898	31.449999809265	0.7811957165002227
2004-03-14	14:00:00	1.8	1207.25	84.0	7.5045987950378565	878.5	103.0	1103.5	102.0	1489.5	872.25	21.424999713898	30.199999809265	0.7615918767626616
2004-03-14	15:00:00	1.9	1257.75	99.0	8.160112924625768	905.75	112.0	1081.25	107.0	1511.0	900.25	21.925000190735	28.950000286102	0.7524589545694458
2004-03-14	16:00:00	3.0	1457.75	150.0	11.867358322901142	1045.0	170.0	973.75	129.0	1646.0	1098.5	22.224999904633	28.39999961853	0.7516273241188697
2004-03-14	17:00:00	2.9	1437.75	156.0	12.033004745084428	1050.75	180.0	942.5	128.0	1667.5	1206.25	21.299999713898	30.75	0.7696154919144513
2004-03-14	18:00:00	2.5	1477.75	122.0	12.163323306748472	1055.25	160.0	929.25	121.0	1670.75	1262.25	19.650000095367	36.699999809265	0.8307061318496992
2004-03-14	19:00:00	4.6	1807.5	262.0	20.57171487732563	1312.25	261.0	753.25	157.0	1992.75	1697.75	18.374999523163	41.72500038147	0.8731957705577488
2004-03-14	20:00:00	5.9	1898.0	341.0	23.142125805295404	1381.25	325.0	680.5	173.0	2102.75	1904.75	17.625	46.099999427795	0.9209535360575977
2004-03-14	21:00:00	3.4	1559.5	214.0	14.720453409836011	1139.75	217.0	783.75	146.0	1817.5	1648.0	16.650000095367	49.575000762939	0.9319900473249648
2004-03-14	22:00:00	2.1	1324.25	100.0	9.004199247323303	939.5	146.0	923.5	121.0	1587.0	1422.75	16.25	50.950000762939	0.9341472131622557
2004-03-14	23:00:00	2.2	1348.75	79.0	8.83888507899354	933.0	152.0	933.0	119.0	1616.5	1348.75	14.725000143051	55.925000190735	0.9313856224921276
